"","playerID","runs.1889","runs.PL1890","runs.1891","games.1889","games.PL1890","games.1891","runsPerGame.1889","runsPerGame.PL1890","runsPerGame.1891","PLImprovement"
"1","andreed01",42,84,47,50,94,83,0.84,0.893617021276596,0.566265060240964,1.27090837501641
"2","bakelje01",9,10,4,36,43,21,0.25,0.232558139534884,0.19047619047619,1.05593966059082
"3","baldwma01",19,27,11,64,58,53,0.296875,0.46551724137931,0.207547169811321,1.84574457365122
"4","bastich01",19,38,0,46,80,2,0.41304347826087,0.475,0,2.3
"5","becklja01",91,109,94,123,121,133,0.739837398373984,0.900826446280992,0.706766917293233,1.24543586179681
"6","beeched01",20,69,44,42,126,74,0.476190476190476,0.547619047619048,0.594594594594595,1.02283653846154
"7","bierblo01",80,128,60,130,133,121,0.615384615384615,0.962406015037594,0.495867768595041,1.73211059685828
"8","boyleja01",54,56,78,99,100,123,0.545454545454545,0.56,0.634146341463415,0.949473684210526
"9","broutda01",105,117,117,126,123,130,0.833333333333333,0.951219512195122,0.9,1.09756097560976
"10","brownpe01",39,112,64,83,118,105,0.469879518072289,0.949152542372881,0.60952380952381,1.75866150882952
"11","brownto01",93,146,177,90,128,137,1.03333333333333,1.140625,1.29197080291971,0.981054462697499
"12","brownwi01",16,47,62,40,60,115,0.4,0.783333333333333,0.539130434782609,1.66820987654321
"13","buffich01",16,24,16,47,42,58,0.340425531914894,0.571428571428571,0.275862068965517,1.85442176870748
"14","carnejo01",25,26,69,69,53,130,0.36231884057971,0.490566037735849,0.530769230769231,1.09858378691563
"15","carrofr01",80,95,55,91,111,91,0.879120879120879,0.855855855855856,0.604395604395604,1.15382048715382
"16","comisch01",105,53,86,137,88,141,0.766423357664234,0.602272727272727,0.609929078014184,0.875172247544083
"17","connoro01",117,133,112,131,123,129,0.893129770992366,1.08130081300813,0.868217054263566,1.22781135152188
"18","cookpa01",34,32,24,81,58,52,0.419753086419753,0.551724137931034,0.461538461538462,1.25208085612366
"19","craneed01",16,27,16,29,43,49,0.551724137931034,0.627906976744186,0.326530612244898,1.42989713774598
"20","crossla01",22,42,66,55,63,110,0.4,0.666666666666667,0.6,1.33333333333333
"21","cunnibe01",10,17,17,41,43,31,0.24390243902439,0.395348837209302,0.548387096774194,0.997990808526362
"22","dailyco01",35,20,25,62,46,60,0.564516129032258,0.434782608695652,0.416666666666667,0.886241810601548
"23","daleybi01",2,14,5,9,37,20,0.222222222222222,0.378378378378378,0.25,1.60254372019078
"24","darlide01",14,45,9,36,58,17,0.388888888888889,0.775862068965517,0.529411764705882,1.68977788685728
"25","delahed01",37,107,92,56,115,128,0.660714285714286,0.930434782608696,0.71875,1.34897987899254
"26","duffyhu01",144,161,134,136,138,127,1.05882352941176,1.16666666666667,1.05511811023622,1.10378323108384
"27","dunlafr01",59,10,4,121,18,8,0.487603305785124,0.555555555555556,0.5,1.12505811250581
"28","dwyerfr01",14,10,25,36,16,48,0.388888888888889,0.625,0.520833333333333,1.37404580152672
"29","ewingbu01",91,98,8,99,83,14,0.919191919191919,1.18072289156627,0.571428571428571,1.58420322140449
"30","ewingjo01",12,18,10,41,35,33,0.292682926829268,0.514285714285714,0.303030303030303,1.72662176533144
"31","farredu01",66,79,108,101,117,122,0.653465346534653,0.675213675213675,0.885245901639344,0.877635327635328
"32","fieldjo01",41,101,14,75,126,31,0.546666666666667,0.801587301587302,0.451612903225806,1.60593750641144
"33","galvipu01",15,8,11,41,26,33,0.365853658536585,0.307692307692308,0.333333333333333,0.880143112701252
"34","gorege01",132,132,103,120,93,130,1.1,1.41935483870968,0.792307692307692,1.50013113034356
"35","griffmi01",152,127,106,137,115,134,1.10948905109489,1.10434782608696,0.791044776119403,1.16214487769013
"36","grubehe01",7,21,17,25,50,46,0.28,0.42,0.369565217391304,1.29317269076305
"37","gumbead01",30,23,18,41,44,34,0.731707317073171,0.522727272727273,0.529411764705882,0.828989554245527
"38","haddoge01",13,21,30,34,42,58,0.382352941176471,0.5,0.517241379310345,1.11161217587373
"39","hallmbi01",67,59,112,119,84,141,0.563025210084034,0.702380952380952,0.794326241134752,1.03492864983535
"40","hanlone01",81,106,87,116,118,119,0.698275862068966,0.898305084745763,0.73109243697479,1.25692599359693
"41","hatfigi01",21,32,83,32,71,134,0.65625,0.450704225352113,0.619402985074627,0.706625125524629
"42","hoydu01",98,107,136,127,122,141,0.771653543307087,0.877049180327869,0.964539007092199,1.01031326292256
"43","hurleje01",0,5,10,1,8,24,0,0.625,0.416666666666667,3
"44","irwinar01",58,60,1,103,96,6,0.563106796116505,0.625,0.166666666666667,1.71286031042129
"45","irwinjo01",42,62,13,58,77,33,0.724137931034483,0.805194805194805,0.393939393939394,1.44032042723632
"46","johnsdi01",80,37,59,132,79,99,0.606060606060606,0.468354430379747,0.595959595959596,0.779278800127646
"47","keefege01",7,15,1,30,25,5,0.233333333333333,0.6,0.2,2.76923076923077
"48","keefeti01",17,18,2,47,30,19,0.361702127659574,0.6,0.105263157894737,2.56978417266187
"49","kellyki01",120,83,65,125,89,102,0.96,0.932584269662921,0.637254901960784,1.16773380193491
"50","kilroma01",32,11,2,65,31,8,0.492307692307692,0.354838709677419,0.25,0.956042119338125
"51","kingsi01",37,24,12,56,58,49,0.660714285714286,0.413793103448276,0.244897959183673,0.913841670713939
"52","kuehnbi01",43,66,60,97,126,109,0.443298969072165,0.523809523809524,0.55045871559633,1.05419969453471
"53","larkihe01",105,93,94,133,125,133,0.789473684210526,0.744,0.706766917293233,0.994492462311558
"54","lathaar01",110,82,119,118,93,135,0.932203389830508,0.881720430107527,0.881481481481482,0.972297276174228
"55","mackco01",51,95,43,98,123,75,0.520408163265306,0.772357723577236,0.573333333333333,1.41232224612332
"56","maddeki01",7,5,18,24,13,39,0.291666666666667,0.384615384615385,0.461538461538462,1.02127659574468
