playerID,yearID,stint,teamID,lgID,G_batting,R,runsPerGame
steined01,1891,1,CHN,NL,14,4,0.2857
stephcl01,1891,1,CIN,NL,1,0,0.0000
stiveja01,1891,1,SL4,AA,85,45,0.5294
stoveha01,1891,1,BSN,NL,134,118,0.8806
stratsc01,1891,1,PIT,NL,2,1,0.5000
stratsc01,1891,2,LS2,AA,34,9,0.2647
striccu01,1891,1,BS2,AA,139,96,0.6906
sulliji01,1891,1,BSN,NL,1,0,0.0000
sulliji01,1891,2,CL6,AA,1,0,0.0000
sullima01,1891,1,BSN,NL,17,15,0.8824
sullima01,1891,2,CL4,NL,1,0,0.0000
sullimi02,1891,1,PH4,AA,2,0,0.0000
sullimi02,1891,2,NY1,NL,3,3,1.0000
sutclsy01,1891,1,WS9,AA,53,29,0.5472
tayloha01,1891,1,LS2,AA,93,81,0.8710
tayloja01,1891,1,NY1,NL,1,0,0.0000
tebeapa01,1891,1,CL4,NL,61,38,0.6230
terryad01,1891,1,BRO,NL,30,10,0.3333
thompsa01,1891,1,PHI,NL,133,108,0.8120
thornjo01,1891,1,PHI,NL,39,7,0.1795
tiernmi01,1891,1,NY1,NL,134,111,0.8284
townsge01,1891,1,BL3,AA,61,29,0.4754
tucketo01,1891,1,BSN,NL,140,103,0.7357
twitcla01,1891,1,CL6,AA,57,32,0.5614
vanhage01,1891,1,BL3,AA,139,136,0.9784
vaughfa01,1891,1,CN3,AA,51,21,0.4118
vaughfa01,1891,2,ML3,AA,25,13,0.5200
viaule01,1891,1,CL4,NL,45,15,0.3333
vicketo01,1891,1,CHN,NL,14,3,0.2143
virtuja01,1891,1,CL4,NL,139,82,0.5899
visnejo01,1891,1,WS9,AA,18,13,0.7222
visnejo01,1891,2,SL4,AA,6,2,0.3333
walshjo01,1891,1,BL3,AA,26,14,0.5385
wardjo01,1891,1,BRO,NL,105,85,0.8095
wardpi01,1891,1,PIT,NL,6,3,0.5000
weavefa01,1891,1,LS2,AA,135,76,0.5630
welchcu01,1891,1,BL3,AA,132,122,0.9242
welchmi01,1891,1,NY1,NL,22,4,0.1818
wentzja01,1891,1,LS2,AA,1,0,0.0000
werdepe01,1891,1,BL3,AA,139,102,0.7338
weyhigu01,1891,1,PH4,AA,54,11,0.2037
wheelbo01,1891,1,CL6,AA,136,82,0.6029
whistle01,1891,1,NY1,NL,72,39,0.5417
whitnar01,1891,1,CN3,AA,93,42,0.4516
whitnar01,1891,2,SL4,AA,3,0,0.0000
widnewi01,1891,1,CN3,AA,1,0,0.0000
wilmowa01,1891,1,CHN,NL,121,102,0.8430
wisesa01,1891,1,BL3,AA,103,70,0.6796
wolfji01,1891,1,LS2,AA,138,67,0.4855
woodge01,1891,1,PH4,AA,132,105,0.7955
youngcy01,1891,1,CL4,NL,55,23,0.4182
ziesbi01,1891,1,SL4,AA,2,0,0.0000
zimmech01,1891,1,CL4,NL,116,55,0.4741
