playerID,birthCountry,bats
anderjo03,USA,L
anderke01,USA,R
anderla01,USA,R
anderla02,USA,R
anderla03,USA,L
anderma01,USA,R
anderma02,USA,L
andermi01,USA,R
andermi02,USA,R
anderre01,USA,R
anderri01,USA,R
anderri02,USA,R
andersc01,USA,R
andersp01,USA,R
anderva01,USA,R
anderwa01,USA,L
anderwi01,USA,L
andinro01,USA,R
andrast01,USA,R
andrecl01,USA,R
andreed01,USA,R
andreel01,USA,L
andreer01,USA,R
andrefr01,USA,R
andrehu01,USA,R
andreiv01,USA,R
andrejo01,USA,L
andrejo02,USA,L
andreki01,USA,R
andremi01,USA,R
andrena01,USA,R
andrero01,USA,R
andresh01,USA,R
andrest01,USA,R
andrewa01,USA,R
andrubi01,USA,R
andruel01,Venezuela,R
andrufr01,USA,R
andujjo01,D.R.,B
andujlu01,D.R.,R
angelno01,USA,L
angleto01,USA,L
ankenpa01,USA,R
ankieri01,USA,L
annisbi01,USA,R
ansonca01,USA,R
anthoer01,USA,L
antoljo01,USA,R
antonbi01,USA,R
antonjo01,USA,R
antonjo02,USA,L
antonma01,USA,R
aparilu01,Venezuela,R
apodabo01,USA,R
apontlu01,Venezuela,R
appieke01,USA,R
appleed01,USA,R
applefr01,USA,R
applepe01,USA,R
applilu01,USA,R
aquingr01,D.R.,R
aquinlu01,P.R.,R
aragoan01,Cuba,R
aragoja01,Cuba,R
archdma01,USA,L
archefr01,USA,L
archeji01,Ireland,R
archeji02,USA,R
archige01,USA,R
arciajo01,Cuba,R
ardelda01,USA,L
ardizru01,Italy,R
ardnejo01,USA,R
ardoida01,USA,R
arellfr01,USA,R
arencjp01,USA,R
arftha01,USA,L
ariasal01,USA,R
ariasal02,D.R.,R
ariasge01,USA,R
ariasjo01,D.R.,R
ariasru01,Cuba,L
arletbu01,USA,B
arlicdo01,USA,L
arlinst01,USA,R
armasma01,Venezuela,R
armasto01,Venezuela,R
armasto02,Venezuela,R
armbrch01,USA,R
armbred01,Bahamas,R
armbrha01,USA,L
armbror01,USA,R
armstge01,USA,R
armstho01,USA,R
armstja01,USA,R
armstmi01,USA,R
arndtha01,USA,R
arndtla01,USA,R
arnolch01,USA,R
arnolja01,USA,R
arnolsc01,USA,R
arnolto01,USA,R
arnovmo01,USA,R
arnsbbr01,USA,R
arntzor01,USA,R
arochre01,Cuba,R
arredjo01,D.R.,R
arrieja01,USA,R
arrigge01,USA,L
arrojro01,Cuba,R
arroybr01,USA,R
arroyfe01,USA,R
arroylu01,P.R.,L
arroyru01,USA,L
asadora01,USA,R
asbelji01,USA,R
asbjoca01,USA,R
ascanjo01,Venezuela,R
asencmi01,D.R.,R
ashburi01,USA,L
ashbyal01,USA,B
ashbyan01,USA,R
ashfotu01,USA,R
ashke01,USA,R
ashlebi01,USA,R
asprobo01,USA,R
asproke01,USA,R
asselbr01,USA,L
assenpa01,USA,L
astacez01,D.R.,R
astacpe01,D.R.,R
astrojo01,USA,R
atchisc01,USA,R
atchlju01,USA,L
atherch01,USA,R
atherke01,USA,R
atilalu01,P.R.,R
atkinal01,USA,R
atkinbi01,CAN,L
atkinga01,USA,R
atkinja01,USA,L
atkinle01,USA,L
atkinmi01,USA,R
atkinto01,USA,L
attredi01,USA,L
atwelto01,USA,L
atwoobi01,USA,R
atzja01,USA,R
aubreha01,USA,R
aubremi01,USA,L
aucoide01,CAN,R
auderi01,USA,R
auerbri01,USA,R
augenbr01,USA,R
augusda01,USA,R
augusdo01,USA,R
augusje01,USA,L
aukerel01,USA,R
auldsle01,USA,R
aultdo01,USA,R
aurilri01,USA,R
ausanjo01,USA,R
ausmubr01,USA,R
austde01,USA,R
austije01,USA,R
austiji01,Wales,B
austiji02,USA,R
austiri01,USA,R
autryal01,USA,R
autrych01,USA,L
autrych02,USA,R
avenbr01,USA,R
averiea01,USA,L
averiea02,USA,R
averyst01,USA,L
avilaal01,USA,L
avilabo01,Mexico,R
avilemi01,USA,R
avilera01,P.R.,R
avreaja01,USA,R
axforjo01,CAN,R
ayalabe01,P.R.,R
ayalabo01,USA,R
ayalalu01,Mexico,R
aybarer01,D.R.,B
aybarma01,D.R.,R
aybarwi01,D.R.,B
aydelja01,USA,L
ayersbi01,USA,R
ayersdo01,USA,R
aylwadi01,USA,R
ayraubo01,USA,R
ayraujo01,USA,R
azcuejo01,Cuba,R
azocaos01,Venezuela,L
babbch01,USA,B
babcobo01,USA,R
babelo01,USA,L
babicjo01,USA,R
babinch01,USA,R
babitsh01,USA,R
backebr01,USA,R
backmle01,USA,R
backmwa01,USA,B
bacsimi01,USA,R
bacsimi02,USA,L
baczefr01,USA,L
badenbu01,USA,R
baderar01,USA,R
baderlo01,USA,L
badgrre01,USA,L
baeched01,USA,R
baekch01,South Korea,R
baergca01,P.R.,B
baezbe01,D.R.,L
baezda01,Cuba,R
baezjo01,D.R.,R
baezke01,USA,R
bagbyji01,USA,B
bagbyji02,USA,R
bagwebi01,USA,L
bagweje01,USA,R
bahnsst01,USA,R
bahred01,CAN,R
baichgr01,USA,R
bailean01,USA,R
bailebi01,USA,L
bailebi02,USA,L
bailebo01,USA,R
baileco01,USA,R
baileed01,USA,L
bailefr01,USA,L
bailege01,USA,R
baileho01,USA,R
baileho02,USA,R
baileje01,USA,R
baileji01,USA,B
baileki01,USA,L
bailema01,USA,B
bailero01,USA,R
bailesc01,USA,L
bailest01,USA,R
bailesw01,USA,R
bailobo01,USA,R
baineha01,USA,L
bainlo01,USA,R
bairdal01,USA,R
bairdbo01,USA,L
bairddo01,USA,R
bairdo01,USA,R
baislje01,USA,R
bajenje01,USA,R
bakelje01,USA,R
bakenda01,USA,R
bakeral01,USA,R
bakerbi01,USA,R
bakerch02,USA,R
bakerda01,USA,L
bakerde01,USA,R
bakerdo01,USA,B
bakerdu01,USA,R
bakerer01,USA,R
bakerfl01,USA,L
bakerfr01,USA,L
bakerfr02,USA,L
bakerfr03,USA,L
bakerge02,USA,R
bakerho01,USA,R
bakerja01,USA,R
bakerje01,USA,L
bakerje02,USA,R
bakerje03,W.Germany,R
bakerjo01,USA,L
bakerki01,USA,R
bakerne01,USA,R
bakerph01,USA,L
bakersc01,USA,L
bakersc02,USA,R
bakerst01,USA,R
bakerto01,USA,R
bakerto02,USA,L
bakertr01,USA,R
bakopa01,USA,L
balasmi01,USA,R
balazjo01,CAN,R
balbost01,USA,R
balcebo01,USA,R
baldero01,USA,R
baldsja01,USA,R
baldwbi01,USA,L
baldwda01,USA,R
baldwfr01,USA,R
baldwha01,USA,R
baldwhe01,USA,R
baldwja01,USA,R
baldwje01,USA,L
baldwki01,USA,R
baldwla01,USA,L
baldwma01,USA,R
baldwre01,USA,R
baldwri01,USA,L
balejo01,USA,L
balenmi01,USA,R
balenwl01,Netherlands Antilles,R
balesco01,USA,R
balesle01,USA,B
balfogr01,Australia,R
ballaje01,USA,L
balleja01,USA,R
ballepe01,USA,R
ballima01,USA,R
ballje01,USA,R
ballji01,USA,R
ballne01,USA,R
ballowi01,USA,R
balsato01,USA,R
bambege01,USA,R
bambeha01,USA,L
bancrda01,USA,B
bandoch01,USA,B
bandosa01,USA,R
baneed01,USA,R
baneydi01,USA,R
banisje01,USA,R
bankhda01,USA,R
bankhsc01,USA,R
banksbi01,USA,R
banksbr01,USA,B
bankser01,USA,R
banksev01,USA,L
banksge01,USA,R
banksjo01,USA,R
bankswe01,USA,R
bankswi01,USA,R
bannial01,USA,R
bannibr01,USA,R
bannifl01,USA,L
banniji01,USA,L
bannoji01,USA,R
bannoto01,USA,R
bantaja01,USA,L
baptitr01,USA,L
barajro01,USA,R
barbare01,USA,R
barbawa01,USA,R
barbebr01,USA,B
barbebr02,USA,R
barbech01,USA,R
barbeda01,USA,R
barbefr01,USA,B
barbeja01,USA,R
barbest01,USA,L
barbest02,USA,R
barbetu01,USA,L
barbiji01,USA,L
barcelo01,D.R.,R
barclcu01,USA,R
bardda01,USA,R
bardebr01,USA,R
bardjo01,USA,B
barera01,USA,R
barfije01,USA,R
barfijo01,USA,L
barfijo02,Venezuela,R
barfocl01,USA,R
bargagr01,USA,R
bargecy01,USA,L
barkbr01,USA,L
barkean01,USA,L
barkegl01,USA,B
barkeke01,USA,L
barkele01,USA,R
barkera01,USA,L
barkeri01,USA,R
barkese01,USA,R
barklbr01,USA,L
barklje01,USA,B
barklre01,USA,R
barklsa01,USA,R
barlomi01,USA,L
barmebr01,USA,L
barmecl01,USA,R
barnaba01,USA,L
barnach01,USA,L
barnebo01,USA,L
barnebr01,USA,L
barneda01,USA,R
barneed01,USA,L
barneep01,USA,L
barnefr01,USA,L
barnefr02,USA,R
barneho01,USA,L
barneje01,USA,L
barnejo01,USA,R
barneju01,USA,L
barnela01,USA,L
barnelu01,USA,R
barnere01,USA,L
barnere02,USA,R
barneri01,USA,R
barnero01,USA,R
barnesa01,USA,L
barnesk01,USA,R
barnevi01,USA,R
barnhcl01,USA,R
barnhed01,USA,L
barnhle01,USA,R
barnhvi01,USA,R
barnige01,USA,R
barnoed01,USA,R
barnwch01,USA,R
barojsa01,Mexico,R
baronda01,USA,R
barondi01,USA,R
barracu01,USA,R
barrage01,Mexico,L
barrbo01,USA,R
barrbo02,USA,R
barrebi02,USA,R
barrebo01,USA,R
barredi01,USA,R
barrefr01,USA,R
barreji01,USA,L
barrejo01,USA,L
barrema01,USA,R
barrema02,USA,R
barremi01,USA,R
barrere01,USA,R
barreti01,USA,L
barreto01,USA,B
barrifr01,Mexico,R
barrijo01,USA,R
barrima01,Panama,R
barrji01,USA,R
barrocu01,USA,L
barrofr02,USA,L
barrore01,USA,R
barroto01,USA,R
barrsc01,USA,R
barrst01,USA,L
barryha01,USA,R
barryja01,USA,R
barryje01,USA,B
barryke01,USA,R
barryri01,USA,R
barrysh01,USA,R
bartedi01,USA,R
barteki01,USA,R
barthbo01,USA,R
barthji01,USA,R
barthjo01,USA,B
barthle01,USA,R
bartito01,USA,L
bartlbi01,USA,R
bartlbo01,USA,R
bartlir01,USA,R
bartlja01,USA,R
bartobo01,USA,R
bartobr01,USA,R
bartocl01,USA,L
bartoda01,USA,R
bartoda02,USA,L
bartoha01,USA,B
bartosh01,USA,R
bartovi01,CAN,L
barziph01,USA,L
