"","playerID","runs.1889","runs.PL1890","runs.1891","games.1889","games.PL1890","games.1891","runsPerGame.1889","runsPerGame.PL1890","runsPerGame.1891","PLImprovement","runsPerGameNonPL"
"1","andreed01",42,84,47,50,94,83,0.84,0.893617021276596,0.566265060240964,1.33540521157064,0.669172932330827
"2","bakelje01",9,10,4,36,43,21,0.25,0.232558139534884,0.19047619047619,1.01967799642218,0.228070175438596
"3","baldwma01",19,27,11,64,58,53,0.296875,0.46551724137931,0.207547169811321,1.81551724137931,0.256410256410256
"4","bastich01",19,38,0,46,80,2,0.41304347826087,0.475,0,1.2,0.395833333333333
"5","becklja01",91,109,94,123,121,133,0.739837398373984,0.900826446280992,0.706766917293233,1.24654902836721,0.72265625
"6","beeched01",20,69,44,42,126,74,0.476190476190476,0.547619047619048,0.594594594594595,0.992559523809524,0.551724137931034
"7","bierblo01",80,128,60,130,133,121,0.615384615384615,0.962406015037594,0.495867768595041,1.72545649838883,0.557768924302789
"8","boyleja01",54,56,78,99,100,123,0.545454545454545,0.56,0.634146341463415,0.941818181818182,0.594594594594595
"9","broutda01",105,117,117,126,123,130,0.833333333333333,0.951219512195122,0.9,1.09690177982861,0.8671875
"10","brownpe01",39,112,64,83,118,105,0.469879518072289,0.949152542372881,0.60952380952381,1.73243376666118,0.547872340425532
"11","brownto01",93,146,177,90,128,137,1.03333333333333,1.140625,1.29197080291971,0.958969907407408,1.18942731277533
"12","brownwi01",16,47,62,40,60,115,0.4,0.783333333333333,0.539130434782609,1.55662393162393,0.503225806451613
"13","buffich01",16,24,16,47,42,58,0.340425531914894,0.571428571428571,0.275862068965517,1.875,0.304761904761905
"14","carnejo01",25,26,69,69,53,130,0.36231884057971,0.490566037735849,0.530769230769231,1.03853873946206,0.472361809045226
"15","carrofr01",80,95,55,91,111,91,0.879120879120879,0.855855855855856,0.604395604395604,1.15382048715382,0.741758241758242
"16","comisch01",105,53,86,137,88,141,0.766423357664234,0.602272727272727,0.609929078014184,0.876606377915279,0.68705035971223
"17","connoro01",117,133,112,131,123,129,0.893129770992366,1.08130081300813,0.868217054263566,1.2276777789612,0.880769230769231
"18","cookpa01",34,32,24,81,58,52,0.419753086419753,0.551724137931034,0.461538461538462,1.26516052318668,0.43609022556391
"19","craneed01",16,27,16,29,43,49,0.551724137931034,0.627906976744186,0.326530612244898,1.53052325581395,0.41025641025641
"20","crossla01",22,42,66,55,63,110,0.4,0.666666666666667,0.6,1.25,0.533333333333333
"21","cunnibe01",10,17,17,41,43,31,0.24390243902439,0.395348837209302,0.548387096774194,1.05426356589147,0.375
"22","dailyco01",35,20,25,62,46,60,0.564516129032258,0.434782608695652,0.416666666666667,0.884057971014493,0.491803278688525
"23","daleybi01",2,14,5,9,37,20,0.222222222222222,0.378378378378378,0.25,1.56756756756757,0.241379310344828
"24","darlide01",14,45,9,36,58,17,0.388888888888889,0.775862068965517,0.529411764705882,1.78785607196402,0.433962264150943
"25","delahed01",37,107,92,56,115,128,0.660714285714286,0.930434782608696,0.71875,1.32713178294574,0.701086956521739
"26","duffyhu01",144,161,134,136,138,127,1.05882352941176,1.16666666666667,1.05511811023622,1.1037170263789,1.05703422053232
"27","dunlafr01",59,10,4,121,18,8,0.487603305785124,0.555555555555556,0.5,1.13756613756614,0.488372093023256
"28","dwyerfr01",14,10,25,36,16,48,0.388888888888889,0.625,0.520833333333333,1.34615384615385,0.464285714285714
"29","ewingbu01",91,98,8,99,83,14,0.919191919191919,1.18072289156627,0.571428571428571,1.34769380552513,0.876106194690266
"30","ewingjo01",12,18,10,41,35,33,0.292682926829268,0.514285714285714,0.303030303030303,1.72987012987013,0.297297297297297
"31","farredu01",66,79,108,101,117,122,0.653465346534653,0.675213675213675,0.885245901639344,0.865360055015228,0.780269058295964
"32","fieldjo01",41,101,14,75,126,31,0.546666666666667,0.801587301587302,0.451612903225806,1.54487734487734,0.518867924528302
